UserID,UserName,Password,Email,Nickname
1,nickmyself,123,nickmyself@live.cn,nickmyself
2,aaa,234,aaa@gmail.com,aaa
93,ktt0mb,ktt0mb,eocvzug@eden.gov,qve
94,9b5kv,9b5kv,e8kpdzr@heat.gov,yoc
95,55x94z,55x94z,5qx9p7p@hashtable.org,sx7h
96,c9c7x,c9c7x,8xr3e@zust.com,e3tci
97,c0fk2,c0fk2,0vmeu@rutgers.net,9wnd
98,1hx3q,1hx3q,fas1ujm@google.org,6o6
99,6ak91s,6ak91s,rfvxgdo0@hashtable.gov,m1w
100,0ys19s,0ys19s,mhbr3@blizzard.org,yy6d
101,oj5bat,oj5bat,uq3d3b@hashtable.biz,fl44
102,917na,917na,nah4u@heat.gov,yxyry
103,32sy2j,32sy2j,u708882@rutgers.com,swph
104,deb6x,deb6x,hz62x@eden.org,w0vu
105,sdh8l,sdh8l,hnxja@heat.gov,586x
106,vtoge7,vtoge7,nqfry@linklist.biz,sf7
107,ta6qys,ta6qys,6ttw46d@eden.net,ao1t
108,uzdvw,uzdvw,ic8fv@rutgers.org,r1qo4
109,r3wan,r3wan,zefdnic@heat.net,s4t
110,kl8f22,kl8f22,a37z8d@hotdog.com,3ll54
111,gpfro,gpfro,nt4on2d@heat.net,l57
112,xh2rni,xh2rni,o7s2qn@rutgers.com,g3f
113,keah1h,keah1h,28bpn@rutgers.org,87f
114,oklip,oklip,5cis4b@rutgers.org,l2c0
115,fbxlq7,fbxlq7,73q35zl@zust.net,00ws
116,3ny4a,3ny4a,40r1t8up@zust.com,y6fot
117,yi6mc7,yi6mc7,yjvp2uai@hashtable.biz,i7owr
118,c5np7k,c5np7k,e1tuudv@rutgers.gov,3lt
119,h8ak3,h8ak3,doiatau@hashtable.net,duxz
120,o9iv7i,o9iv7i,mat1ju@eden.com,kje
121,n42di1,n42di1,074hk5@hashtable.gov,1be
122,llnqzi,llnqzi,cr6wi4r@hotdog.biz,pemgg
123,kjrfb,kjrfb,2yooi7nh@google.gov,rikqt
124,f02x6,f02x6,33jhhsfu@eden.biz,zw3a
125,dng3g3,dng3g3,0i29qarw@hashtable.com,vhioi
126,m2of8h,m2of8h,dypdeq@hashtable.org,v0b3
127,9qbli,9qbli,phvcljso@hotdog.gov,o89f9
128,2ep3qy,2ep3qy,b76eig@zust.net,wwuv
129,w0up4,w0up4,06eb7b@hashtable.net,8bkey
130,6zjtp4,6zjtp4,p0rl5t@eden.com,i6rkg
131,w8dmhx,w8dmhx,4mfv4rqn@hotdog.net,zn49t
132,q8x3f,q8x3f,eyukk@zust.com,o101
133,rdvrxc,rdvrxc,sxmz2b@eden.biz,kcly4
134,cqlgc2,cqlgc2,tg9hsz@linklist.com,9u9b5
135,y58eg,y58eg,dtbxzb4@eden.com,i032
136,05yp0,05yp0,zmx25z@zust.net,qv0k3
137,rdwi8k,rdwi8k,s184o@rutgers.com,10dhl
138,4rflu,4rflu,cpdl74j@hotdog.biz,1ja
139,rmh3hz,rmh3hz,pcorrr2@blizzard.org,pmc
140,gvcy8,gvcy8,f01eg4sx@linklist.com,m9q1
141,ms87vx,ms87vx,uosms@eden.org,yhbm
142,ub3ln,ub3ln,5rseids@hashtable.org,1qbpx
143,d2hevt,d2hevt,jjc2n@hotdog.gov,l56
144,cl8s9,cl8s9,qpl0479d@google.biz,a1rl
145,xoo9n,xoo9n,z9eel48i@zust.biz,4ci
146,wuuj88,wuuj88,8g67ka@blizzard.net,if9r9
147,bzwvj5,bzwvj5,rvgxre8s@linklist.gov,mer3
148,ett0f2,ett0f2,h0kno2r@blizzard.com,nl4r3
149,yvmhls,yvmhls,ebfopuh@google.net,77s2o
150,lq9yyl,lq9yyl,7oyd2dx@heat.com,9bus
151,393k8,393k8,7t458s@google.biz,80w
152,w0xhj,w0xhj,2n4bw2@linklist.biz,vqy
